name,link_id,from_node_id,to_node_id,facility_type,dir_flag,length,lanes,capacity,free_speed,link_type,cost,geometry,TMC
,4967b,1089,1087,,,21.717885869145206,1,699.0,46.67086,6,,"LINESTRING (-111.91678 33.40488,-111.91673 33.40469)",
,4969a,1088,3100,,,23.138170839874185,1,699.0,46.67086,6,,"LINESTRING (-111.8894 33.40634,-111.8894 33.40613)",
,4969b,3100,1088,,,23.138170839874185,1,699.0,46.67086,6,,"LINESTRING (-111.88933 33.40613,-111.88933 33.40634)",
,4971,1088,2227,,,53.59330831545614,1,699.0,46.67086,6,,"LINESTRING (-111.88936 33.40634,-111.88933 33.40642,-111.88933 33.40651,-111.88933 33.40681)",
,4980a,1090,1091,,,21.434559414569378,1,699.0,46.67086,6,,"LINESTRING (-111.92166 33.40531,-111.92166 33.40511)",
,4980b,1091,1090,,,21.434559414569378,1,699.0,46.67086,6,,"LINESTRING (-111.92159 33.40511,-111.92158 33.40531)",
,4990a,1094,3025,,,85.56933744416652,1,699.0,46.67086,6,,"LINESTRING (-111.92204 33.40203,-111.92112 33.40203)",
,4990b,3025,1094,,,85.56933744416652,1,699.0,46.67086,6,,"LINESTRING (-111.92112 33.40209,-111.92204 33.40209)",
,4992a,1094,2757,,,197.02518664326533,1,699.0,46.67086,6,,"LINESTRING (-111.92208 33.40206,-111.92208 33.40167,-111.92208 33.40029)",
,4992b,2757,1094,,,197.04176598709154,1,699.0,46.67086,6,,"LINESTRING (-111.922 33.40029,-111.922 33.40167,-111.922 33.40206)",
,4994a,1094,1675,,,178.52627410782043,1,699.0,46.67086,6,,"LINESTRING (-111.92204 33.40209,-111.92218 33.40209,-111.92355 33.4021,-111.92396 33.4021)",
,4994b,1675,1094,,,178.53669576270246,1,699.0,46.67086,6,,"LINESTRING (-111.92396 33.40203,-111.92355 33.40203,-111.92218 33.40203,-111.92204 33.40203)",
,4996a,1095,1200,,,110.28764087529183,1,699.0,46.67086,7,,"LINESTRING (-111.98498 33.43864,-111.98566 33.43946)",
,4996b,1200,1095,,,110.28764087529183,1,699.0,46.67086,7,,"LINESTRING (-111.98572 33.43942,-111.98504 33.43861)",
,4998a,1095,1267,,,248.73302796671925,1,699.0,46.67086,7,,"LINESTRING (-111.98504 33.43861,-111.9842 33.43757,-111.98409 33.43746,-111.98396 33.4374,-111.98383 33.43736,-111.98369 33.43736,-111.98354 33.43739,-111.98341 33.43744,-111.98318 33.43758)",
,4998b,1267,1095,,,237.59793442102807,1,699.0,46.67086,7,,"LINESTRING (-111.98322 33.43763,-111.98345 33.4375,-111.98356 33.43745,-111.9837 33.43742,-111.98381 33.43743,-111.98393 33.43745,-111.98404 33.43751,-111.98414 33.4376,-111.98498 33.43864)",
,5000a,1095,1327,,,80.43512127344013,1,699.0,46.67086,7,,"LINESTRING (-111.98503 33.43865,-111.98518 33.43857,-111.9854 33.43842,-111.98571 33.43821)",
,5000b,1327,1095,,,79.59054768068404,1,699.0,46.67086,7,,"LINESTRING (-111.98566 33.43816,-111.98536 33.43838,-111.98514 33.43851,-111.98499 33.4386)",
,5002a,1096,1097,,,108.81292435301478,1,699.0,46.67086,6,,"LINESTRING (-111.90473 33.40504,-111.90473 33.40466,-111.90472 33.40418,-111.9047 33.40406)",
,5002b,1097,1096,,,107.71931179006174,1,699.0,46.67086,6,,"LINESTRING (-111.90463 33.40407,-111.90465 33.40418,-111.90465 33.40466,-111.90465 33.40504)",
,5004a,1096,1238,,,45.54307809057016,1,699.0,46.67086,6,,"LINESTRING (-111.90469 33.40501,-111.90465 33.40501,-111.9042 33.40503)",
,5004b,1238,1096,,,45.560612604831476,1,699.0,46.67086,6,,"LINESTRING (-111.9042 33.40509,-111.90465 33.40507,-111.90469 33.40507)",
,5008a,1097,1100,,,101.85785265757539,1,699.0,46.67086,6,,"LINESTRING (-111.9047 33.40406,-111.90455 33.4037,-111.90451 33.40359,-111.90445 33.40346,-111.90436 33.40318)",
,5008b,1100,1097,,,102.2885430360393,1,699.0,46.67086,6,,"LINESTRING (-111.90429 33.4032,-111.90438 33.40348,-111.90443 33.40361,-111.90448 33.40372,-111.90463 33.40408)",
,5014a,1097,2518,,,91.29294610291672,1,699.0,46.67086,6,,"LINESTRING (-111.90468 33.4041,-111.90514 33.40397,-111.9054 33.40389,-111.90561 33.40384)",
,5014b,2518,1097,,,91.29577131977118,1,699.0,46.67086,6,,"LINESTRING (-111.90558 33.40378,-111.90538 33.40383,-111.90511 33.40391,-111.90465 33.40404)",
,5018a,1098,3247,,,37.76567717193239,1,699.0,40.2335,6,,"LINESTRING (-111.99068 33.38334,-111.99074 33.38301)",
,5018b,3247,1098,,,37.76567717193239,1,699.0,40.2335,6,,"LINESTRING (-111.99066 33.383,-111.9906 33.38333)",
,5020,1099,287,,,87.3186322315325,3,2997.0,62.76426,4,,"LINESTRING (-111.89037 33.4211,-111.89036 33.4212,-111.89031 33.42177,-111.8903 33.42189)",
,5021a,1100,1103,,,78.78454552797598,1,699.0,46.67086,6,,"LINESTRING (-111.90436 33.40318,-111.90427 33.40297,-111.90423 33.40284,-111.9042 33.40272,-111.90416 33.40249)",
,5021b,1103,1100,,,80.12075779574725,1,699.0,46.67086,6,,"LINESTRING (-111.90409 33.4025,-111.90413 33.40273,-111.90416 33.40286,-111.9042 33.40298,-111.90429 33.4032)",
,5027a,1101,2588,,,46.79588688562553,1,699.0,46.67086,6,,"LINESTRING (-111.92328 33.38928,-111.92327 33.38885)",
,5027b,2588,1101,,,46.79588688562553,1,699.0,46.67086,6,,"LINESTRING (-111.9232 33.38886,-111.92321 33.38928)",
,5029a,1102,3043,,,89.40901307881934,1,699.0,46.67086,6,,"LINESTRING (-111.92323 33.38804,-111.92226 33.38805)",
,5029b,3043,1102,,,89.40901307881934,1,699.0,46.67086,6,,"LINESTRING (-111.92226 33.38811,-111.92323 33.38811)",
,5031a,1102,2588,,,86.61257371552907,1,699.0,46.67086,6,,"LINESTRING (-111.92319 33.38807,-111.92319 33.38849,-111.9232 33.38886)",
,5031b,2588,1102,,,86.61345525358188,1,699.0,46.67086,6,,"LINESTRING (-111.92327 33.38886,-111.92327 33.38849,-111.92326 33.38807)",
,5033a,1102,2586,,,328.5883251983379,1,699.0,46.67086,6,,"LINESTRING (-111.92323 33.38811,-111.924 33.38809,-111.92428 33.38815,-111.92457 33.38829,-111.92508 33.38853,-111.92536 33.38859,-111.9257 33.38861,-111.92571 33.38872,-111.92563 33.38892,-111.92561 33.38898,-111.92557 33.38909,-111.92557 33.38936)",
,5033b,2586,1102,,,341.9709551223914,1,699.0,46.67086,6,,"LINESTRING (-111.92564 33.38937,-111.92565 33.3891,-111.92568 33.389,-111.9257 33.38894,-111.92579 33.38872,-111.92577 33.38855,-111.92537 33.38852,-111.92511 33.38847,-111.92461 33.38823,-111.92431 33.3881,-111.92401 33.38803,-111.92322 33.38804)",
,5037a,1103,1105,,,81.92049630343939,1,699.0,46.67086,6,,"LINESTRING (-111.90416 33.4025,-111.90416 33.40228,-111.90417 33.40218,-111.90415 33.40176)",
,5037b,1105,1103,,,81.79934013363365,1,699.0,46.67086,6,,"LINESTRING (-111.90408 33.40176,-111.90409 33.40218,-111.90408 33.40228,-111.90409 33.4025)",
,5041a,1104,1108,,,124.34907309525444,1,699.0,40.2335,6,,"LINESTRING (-111.91286 33.41949,-111.91286 33.41942,-111.91286 33.41837)",
,5041b,1108,1104,,,124.34907311667483,1,699.0,40.2335,6,,"LINESTRING (-111.91279 33.41837,-111.91279 33.41942,-111.91279 33.41949)",
,5043a,1104,2772,,,348.4236791467294,1,799.0,48.2802,5,,"LINESTRING (-111.91282 33.41946,-111.91275 33.41946,-111.91223 33.41947,-111.91207 33.41947,-111.91052 33.41948,-111.91037 33.41949,-111.90908 33.4195)",
,5043b,2772,1104,,,348.3663844336031,1,799.0,48.2802,5,,"LINESTRING (-111.90908 33.41956,-111.91037 33.41955,-111.91052 33.41955,-111.91207 33.41953,-111.91223 33.41953,-111.91275 33.41953,-111.91282 33.41953)",
,5045a,1104,2164,,,175.56824220663043,1,799.0,48.2802,5,,"LINESTRING (-111.91282 33.41953,-111.91359 33.41952,-111.91471 33.41947)",
,5045b,2164,1104,,,175.2952034315408,1,799.0,48.2802,5,,"LINESTRING (-111.91471 33.41941,-111.91358 33.41946,-111.91282 33.41946)",
,5047a,1105,1109,,,69.91289930901297,1,699.0,46.67086,6,,"LINESTRING (-111.90415 33.40176,-111.90415 33.40131,-111.90415 33.40113)",
